"lemmaId","arabic","lemma","root","partOfSpeech","phoneticKeys","occurrenceCount","firstRef","meaning","reviewStatus"
"ady-ywd","yu&ad~i","yu&ad~i","Ady","verb","ywd","5","2:283:14","","auto"
"aff-af",">uf~",">uf~","Aff","noun","af","3","17:23:19","","auto"
"aff-taff","t~aEaf~uf","t~aEaf~uf","Eff","noun","taff","1","2:273:16","","auto"
"aff-ystaff","yasotaEofifo","yasotaEofifo","Eff","verb","ystaff","3","4:6:23","","auto"
"afk-afak",">af~aAk",">af~aAk","Afk","noun","afak","2","26:222:4","","auto"
"afk-afk",">ufika",">ufika","Afk","verb","afk","16","5:75:25","","auto"
"afk-ifk","<ifok","<ifok","Afk","noun","ifk","9","24:11:4","","auto"
"afk-mwtfkh","mu&otafikap","mu&otafikap","Afk","noun","mwtfkh","3","9:70:15","","auto"
"afl-aaflyn","'aAfiliyn","'aAfiliyn","Afl","noun","aaflyn","1","6:76:15","","auto"
"afl-afl",">afala",">afala","Afl","verb","afl","3","6:76:11","","auto"
"afq-afq",">ufuq",">ufuq","Afq","noun","afq","3","41:53:4","","auto"
"afr-afryt","Eiforiyt","Eiforiyt","Efr","noun","afryt","1","27:39:2","","auto"
"afw-aafyn","EaAfiyn","EaAfiyn","Efw","noun","aafyn","1","3:134:8","","auto"
"afw-afa","EafaA","EafaA","Efw","verb","afa","27","2:52:2","","auto"
"afw-afw","Eafow","Eafow","Efw","noun","afw","7","2:219:19","","auto"
"ahd-aahd","Ea`hada","Ea`hada","Ehd","verb","aahd","11","2:100:2","","auto"
"ahd-ahd","Eahod","Eahod","Ehd","noun","ahd","109","2:27:3","","auto"
"ahd-ihda","<iHodaY","<iHodaY","AHd","noun","ihda","11","2:282:68","","auto"
"ahl-ahl",">ahol",">ahol","Ahl","noun","ahl","127","2:105:6","","auto"
"ahn-ahn","Eihon","Eihon","Ehn","noun","ahn","2","70:9:3","","auto"
"ajb-aajb",">aEojaba",">aEojaba","Ejb","verb","aajb","11","2:204:4","","auto"
"ajb-ajab","EujaAb","EujaAb","Ejb","adjective","ajab","1","38:5:8","","auto"
"ajb-ajb","Eajibu","Eajibu","Ejb","verb","ajb","13","7:63:1","","auto"
"ajb-ajyb","Eajiyb","Eajiyb","Ejb","adjective","ajyb","2","11:72:12","","auto"
"ajf-ajaf","EijaAf","EijaAf","Ejf","adjective","ajaf","2","12:43:10","","auto"
"ajj-ajaj",">ujaAj",">ujaAj","Ajj","noun","ajaj","3","25:53:10","","auto"
"ajl-aajl",">aEojala",">aEojala","Ejl","verb","aajl","1","20:83:2","","auto"
"ajl-aajlh","EaAjilapN","EaAjilapN","Ejl","noun","aajlh","3","17:18:4","","auto"
"ajl-ajl","Eijol","Eijol","Ejl","noun","ajl","76","2:51:8","","auto"
"ajl-ajwl","Eajuwl","Eajuwl","Ejl","adjective","ajwl","1","17:11:8","","auto"
"ajl-mwjl","m~u&aj~al","m~u&aj~al","Ajl","adjective","mwjl","1","3:145:10","","auto"
"ajl-stajal","{sotiEojaAl","{sotiEojaAl","Ejl","noun","stajal","1","10:11:6","","auto"
"ajl-stajl","{sotaEojala","{sotaEojala","Ejl","verb","stajl","19","6:57:12","","auto"
"ajl-tajl","taEaj~ala","taEaj~ala","Ejl","verb","tajl","1","2:203:7","","auto"
"ajm-aajma",">aEojamiY~",">aEojamiY~","Ejm","noun","aajma","3","16:103:12","","auto"
"ajm-aajmyn",">aEojamiyn",">aEojamiyn","Ejm","noun","aajmyn","1","26:198:5","","auto"
"ajr-ajr",">ajor",">ajor","Ajr","noun","ajr","105","2:62:16","","auto"
"ajr-stjr","{sota_#ojaro","{sota_#ojaro","Ajr","verb","stjr","2","28:26:4","","auto"
"ajr-tajr","ta>ojura","ta>ojura","Ajr","verb","tajr","1","28:27:11","","auto"
"ajz-aajaz",">aEojaAz",">aEojaAz","Ejz","noun","aajaz","2","54:20:4","","auto"
"ajz-ajwz","Eajuwz","Eajuwz","Ejz","noun","ajwz","4","11:72:5","","auto"
"ajz-ajz","Eajazo","Eajazo","Ejz","verb","ajz","1","5:31:14","","auto"
"ajz-maajzyn","muEa`jiziyn","muEa`jiziyn","Ejz","noun","maajzyn","3","22:51:5","","auto"
"ajz-majz","muEojiz","muEojiz","Ejz","noun","majz","12","6:134:7","","auto"
"ajz-yajz","yuEojiza","yuEojiza","Ejz","verb","yajz","4","8:59:8","","auto"
